param_max_depth,param_min_samples_split,param_min_samples_leaf,mean_train_score,mean_test_score,std_test_score,rank_test_score,RMSE_train_CV,RMSE_validacion_CV
12,2,10,-0.4661155534438174,-0.6187805668168338,0.01776077742201088,1,0.4661155534438174,0.6187805668168338
12,5,10,-0.4661155534438174,-0.6187805668168338,0.01776077742201088,1,0.4661155534438174,0.6187805668168338
12,10,10,-0.4661155534438174,-0.6187805668168338,0.01776077742201088,1,0.4661155534438174,0.6187805668168338
,2,10,-0.44248155052389704,-0.6199038489279687,0.0196488477266522,4,0.44248155052389704,0.6199038489279687
,5,10,-0.44248155052389704,-0.6199038489279687,0.0196488477266522,4,0.44248155052389704,0.6199038489279687
,10,10,-0.44248155052389704,-0.6199038489279687,0.0196488477266522,4,0.44248155052389704,0.6199038489279687
9,2,10,-0.5388621014267387,-0.6330091427623156,0.013093381438079402,7,0.5388621014267387,0.6330091427623156
9,5,10,-0.5388621014267387,-0.6330091427623156,0.013093381438079402,7,0.5388621014267387,0.6330091427623156
9,10,10,-0.5388621014267387,-0.6330091427623156,0.013093381438079402,7,0.5388621014267387,0.6330091427623156
12,2,5,-0.41740729656634307,-0.6366832576859751,0.01642715213229232,10,0.41740729656634307,0.6366832576859751
12,5,5,-0.41740729656634307,-0.6366832576859751,0.01642715213229232,10,0.41740729656634307,0.6366832576859751
12,10,5,-0.41740729656634307,-0.6366832576859751,0.01642715213229232,10,0.41740729656634307,0.6366832576859751
9,2,5,-0.5277814940010138,-0.6369387271913775,0.012348678907494247,13,0.5277814940010138,0.6369387271913775
9,5,5,-0.5277814940010138,-0.6369387271913775,0.012348678907494247,13,0.5277814940010138,0.6369387271913775
9,10,5,-0.5277814940010138,-0.6369387271913775,0.012348678907494247,13,0.5277814940010138,0.6369387271913775
9,10,2,-0.5235468915510743,-0.6423902905058869,0.009718411657685134,16,0.5235468915510743,0.6423902905058869
9,5,2,-0.5192417985209784,-0.6444207728573643,0.011593698015406448,17,0.5192417985209784,0.6444207728573643
9,10,1,-0.5227285651050717,-0.6457108710072073,0.009899016405229567,18,0.5227285651050717,0.6457108710072073
9,2,2,-0.51822566351266,-0.646398347095105,0.011240731657695058,19,0.51822566351266,0.646398347095105
9,5,1,-0.5183494748128185,-0.647897721455754,0.012391930412684266,20,0.5183494748128185,0.647897721455754
,2,5,-0.3515939599210024,-0.6493834942060194,0.018336874362242208,21,0.3515939599210024,0.6493834942060194
,5,5,-0.3515939599210024,-0.6493834942060194,0.018336874362242208,21,0.3515939599210024,0.6493834942060194
,10,5,-0.3515939599210024,-0.6493834942060194,0.018336874362242208,21,0.3515939599210024,0.6493834942060194
12,10,2,-0.3990553919427579,-0.6496534383601295,0.0196158464871478,24,0.3990553919427579,0.6496534383601295
9,2,1,-0.5161495200054889,-0.6503359996888665,0.009263231643505974,25,0.5161495200054889,0.6503359996888665
12,10,1,-0.3935326828726414,-0.6554732910871329,0.019118619655529818,26,0.3935326828726414,0.6554732910871329
12,5,2,-0.3758409663171137,-0.6624272305063653,0.018587319015074086,27,0.3758409663171137,0.6624272305063653
12,2,2,-0.37014038490988643,-0.6660508059629191,0.018323006147999383,28,0.37014038490988643,0.6660508059629191
12,5,1,-0.3702321541473713,-0.6689592265466143,0.016558001087804072,29,0.3702321541473713,0.6689592265466143
7,2,10,-0.6179309385759149,-0.6705780730806897,0.014391817789685573,30,0.6179309385759149,0.6705780730806897
7,5,10,-0.6179309385759149,-0.6705780730806897,0.014391817789685573,30,0.6179309385759149,0.6705780730806897
7,10,10,-0.6179309385759149,-0.6705780730806897,0.014391817789685573,30,0.6179309385759149,0.6705780730806897
7,2,5,-0.6158926550070015,-0.6713873912027994,0.012914667013434094,33,0.6158926550070015,0.6713873912027994
7,5,5,-0.6158926550070015,-0.6713873912027994,0.012914667013434094,33,0.6158926550070015,0.6713873912027994
7,10,5,-0.6158926550070015,-0.6713873912027994,0.012914667013434094,33,0.6158926550070015,0.6713873912027994
7,10,2,-0.6149867190124081,-0.6722827474699482,0.012995232533281558,36,0.6149867190124081,0.6722827474699482
7,10,1,-0.6146112122052746,-0.6730879595994932,0.013249605341041915,37,0.6146112122052746,0.6730879595994932
7,2,2,-0.6141025878556245,-0.6732894454752452,0.013804594580980203,38,0.6141025878556245,0.6732894454752452
7,2,1,-0.613384940375504,-0.6733749624147932,0.012841119641598125,39,0.613384940375504,0.6733749624147932
7,5,2,-0.6142425197505954,-0.6734884389454444,0.013842695598812496,40,0.6142425197505954,0.6734884389454444
7,5,1,-0.6137555608544506,-0.6738130955917485,0.01365839250957511,41,0.6137555608544506,0.6738130955917485
12,2,1,-0.3560736792807983,-0.6754403648433753,0.015008883470964598,42,0.3560736792807983,0.6754403648433753
